response,empathy_score
"Do you see yourself as the victim, is someone else to blame for these negative feelings you are experiencing?",no
Do you feel that it's up to you to 'save' someone else?,no
Do you think this was caused by a recent or distant event (events)?,no
"When having conversations in the past, do you give attention to othersâ€™ viewpoints?",no
Do you sometimes believe that you need to save someone,no
Do you tend to consider other peoples opinions / viewpoints to help structure how you feel?,weak
Do you sometimes feel like a victim?,no
Was it caused by something specific?,no
Have you reviewed protocol 6? As a warning this protocol will ask you to revisit a traumatic event that has occurred previously. Do you feel negative emotions from this protocol?,strong
Do you think your negative feelings are a result of someone else's actions?,no
Do you recall whether it was a recent or distant event?,no
Do you believe that you should be the saviour of an individual?,no
"If you are willing to share your thoughts, do you always believe that you are the cause of something going wrong?",weak
I hear what you're saying. Would you mind if I asked some questions about this.,weak
Have you had the feeling to control someone?,no
Is there any internal conflict that you are in or might be experiencing for example with family or close relations?,weak
"Have you recently tried protocol 6 and found it personally complicated, because it reignited emotions as a result of old events?",weak
Can you please tell me if in previous conversations you considered other viewpoints presented?,weak
Would you say there is something in particular that happened to cause how you're feeling? ,weak
Have you considered other viewpoints presented in previous conversations?,no
Was your feeling caused by a specific event?,no
Did any of this been caused by a specific event?,no
"I hope it was okay. Have you tried protocol 6, and somehow feel that it has reignited unmanageable emotions from the past?",weak
Do you feel as if your personal life is falling apart? ,weak
Do you believe that you put other people's needs first as a way to act like their saviour?,no
Have you recenly tried to attempt protocol 6 and found this reignited unpleasant emotions as a result of some  past relatable experience that happened to you? ,weak
"When something goes wrong, do you always blaming yourself?",no
Was it a specific situation that sparked your feelings of disappointment?,weak
Was this feeling caused by a specific problem?,no
Have you thought you may be trying to push others into what you consider they should do?,weak
Do you think that in this situation you have been someone that controls the other person?,no
Do you always feel guilty?,no
I understand why you feel this way. I will ask some more questions to understand your current situation.,strong
Do you feel this way because of something that happened in a long time ago or recently?,weak
I'm sorry to hear that. I have a couple questions so that I may be able to help you.,strong
Are you thinking that you are the only person that can help others?,no
Thank you for trusting me with this information. I just want to ask a few questions to understand the situation more clearly.,strong
Do you see yourself being in an unjust position due to someone else's actions?,no
Can you let me know if you have always blamed and accused yourself for when things do not go as planned?,weak
I was wondering whether this feeling is caused by a certain event?,weak
"Sometimes we need to look at situations from different points of view, even if that might be challenging. Have you tried looking at this situation from different points of view?",strong
Do you always feel responsible and guilty when something goes wrong?,no
Are you feeling this way because of a specific situation?,no
Do you attempt to understand other people's viewpoints?,no
Are you always so hard on yourself when something doesn't go according to plan?,no
Did anything bad happen between you and someone you are close with recently? Or anything else in your personal life gone wrong?,weak
Are you trying to help someone out by controlling their decisions?,no
Has it ever happened that you showed or deeply felt one or more of these emotions about someone,no
Which one of these emotions have you conveyed to anyone recently? ,no
Do you identify with any of the following emotions felt towards someone:,no
Do you feel like you're controlling someone?,no
Thank you for the information. Now I am asking you a few things to understand your situation.,weak
Are you going through a personal crisis or experiencing problems with your loved ones?,no
"Is there anything going on in your life at the moment that's making things more difficult. For example, are you having difficulties with friends or loved ones?",weak
Do you feel like someone doesn't listen to you? Do you want to take control of them?,weak
Do you feel or find yourself somehow trying to control someone?,weak
Do you feel this way because of something that happened in a long time ago or recently?,weak
Do you seem to think that you undergoing a personal crisis?,no
Have you tried taking protocol 6 and did it cause more negative feelings? Either way I am sorry to hear this.,strong
Is it important to you that you be a saviour of someone else?,no
"I hear and understand where you are coming from, would you mind if I asked questions to get more clarity?",strong
I wonder if you have thought you may be trying wittingly or unwittingly to control someone. ,weak
Do you feel that it's your job to save somebody else?,no
Do you believe its always your fault something goes wrong? Please think about this.,no
"Thank you very much. Now, please, let me know this. Have you recently attempted protocol 6 and found unmanageable emotions as a result of old events?",weak
Do you feel that someone else is responsible for your negative emotions?,weak
Have you strongly felt or expressed any of the following emotions towards someone that you trust or is close to you?,weak
Do you ever considered other points of view?,no
Was this caused by an event that happened recently or an event/s that happened in the past?,no
Was this feeling caused by a recent of distant problem?,no
Thank you for letting me know. Now I will ask some questions to help you with your situation.,weak
Do you consider yourself as the savior of someone else?,no
Did you experience or expressed any of the following emotions towards someone?,no
Do you think you should be a person that saves others?,no
Was this recent or distant?,no
Are you trying to control other people?,no
Do you feel like you are in control of someone else?,no
Do you always feel like its your fault when something goes wrong?,no
Do you always tend to blame yourself when something goes wrong in your life?,no
Have you considered looking at the situation from different angles in the past when you've felt this way?,weak
Do you find it easier to shift blame for your situation?,no
Have you expressed any of the following emotions towards someone else?,no
Can you tell me please was this caused by some specific event?,weak
Did a particular event make you feel this way?,no
Do you express any of the following emotions strongly towards someone:,no
"In previous conversations, Which of the view points listed have you considered?",no
Have you strongly expressed or felt any of the following emotions towards someone:,no
Would you consider yourself to be undergoing a personal crisis?,no
Is your feeling due to something that happened recently or in the past?,weak
Does applying protocol 6 make you feel strong negative emotions?,no
Do you feel like you blame yourself for everything?,no
Do you think you are dictating someone?,no
Is there something in you that makes you think you are the one that has to save someone?,no
"Do you identify with the role of the victim, trying to blame someone else for your negative feelings?",weak
Thank for you talking to me about this. Have you tried talking to others for their viewpoints?,strong
Have there been any events recent or distant that you think have caused this to happen?,weak
Have you ever felt that you are a victim and blamed someone else for this negative feeling?,weak
Did you see all viewpoints that were presented in your previous discussions?,no
"Do you think your mission is to help others, no matter what costs?",no
Would you regard yourself as someone who is controlling?,no
"Do you feel the need to actively support or ""rescue"" another person?",weak
Would you say you have felt or currently feeling any of the below emotions towards someone:,weak
Now I would like us to recall if there was a certain event that caused this. Do you think there was?,weak
"I'm sorry to hear that, I know it can be quite difficult, but lets try to unpack everything and try and find a solution.",strong
Do you have a crisis with the people close to you?,no
Do you always blame yourself when things fall apart?,no
Did this happen due to a specific event?,no
"Please do tell me, did this event(s) happen more recently or is it distant?",strong
Have you ever felt these feelings towards someone else for what they have?,no
Do you think something specific caused you to feel this way?,weak
Do you remember attempting protocol 6 recently and discovered that you feel like that as a result of old events?,weak
"Do you know about protocol 6? If so, have you attempted it and found reignited unmanageable emotions as a result of old events?",weak
"Thank you for that information, sometimes I have experinced this as well. Do you see yourself as the victim, blaming someone else for how negative you feel?",strong
 Did something happen to make you feel this way?,no
"I understand, is this feeling caused by a specific moment, either recently or long ago?",weak
Do you feel that you trying to or controlling someone?,weak
Is there something particular that caused this?,no
Are you feeling like this because of some specific event?,no
Could recall attempting protocol 6 recently and this leading to deep negative emotions that you could not manage?,weak
"If something negative happens, do you think that is your fault?",no
I know that is not easy but did you try protocol 6? If you did it recreate negative feelings from your past?,strong
Do you always blame yourself for something that goes wrong?,no
Is there anything in particular that caused you to feel this way?,weak
"I can imagine how you feel, I once went through a similar situation. Let me suggest some procotics that should help you.",strong
"When you chat with other people, do you try to put yourself in their shoes and consider their point of view?",weak
"If you are willing to share your thoughts, do you believe that you should be the saviour of someone else?",weak
"It's okay to feel like this, and I know you can do better. Tell me more, why do you feel responsible?",strong
Have you given protocol 6 a try? Did it bring up some heavy emotions?,weak
Do you feel you want someone to behave in way that suits you better?,weak
Would you wanna save someone else when they are in trouble?,no
Are things rough for you at this point in time?,no
Good job so far! One more question: Have you strongly felt or expressed any of the following emotions towards someone else?,weak
Did this happen after a certain event?,no
Do you consider yourself to be someone else's savior?,no
Is there a need for you to be someone else's saviour?,no
Have you ever felt that you are someone else's saviour?,no
Do you always feel responsible when something goes wrong?,no
"Have you recently tried protocol 6? If so, did that stir up any difficult emotions relating to past events?",weak
"I wonder, was this caused by a recent or distant event?",no
"Now, to make sure my recommendations are tailored to your needs, could you please tell me if you have already tried Protocol 6, but found it too hard due to past negative emotions and could not continue?",strong
Are you trying to help someone out by controlling their decisions?,no
"I appreciate you sharing this information with me and wanting my assistance. Please, allow me to ask some questions to further understand your feelings.",strong
"In this situation, have you ever felt as the victim or blamed someone else for how negative you feel?",weak
"Do you usually see yourself as the victim, and blame someone else for your negative feelings?",no
Have you tried protocol 6 lately? Did it have any negative affects on how you have felt lately?,weak
Do you always put a blame on yourself when things go wrong?,no
"Do you picture yourself as a victim, blaming others for reasoning behind your negative emotions?",weak
Are you facing any personal hardships such as falling out with a friend at the moment?,weak
Have you considered others' opinions in previous discussions?,no
Do you recall any specific event(s) that caused you to feel this way?,weak
"If you have recently tried protocal 6, did it bring back any bad emotions from older events?",weak
Do you see yourself as a victim?,no
Are you always so hard on yourself when something doesn't go according to plan?,no
Do youexperience of hardships with loved ones?,no
Thank you for sharing and being open with me. Now we will ask some questions to help gain a better understanding of your situation.,strong
"Is this feeling because you are going through a personal crisis(e.g. problems with loved ones, friends, etc.)?",weak
"Thank you for sharing your feelings and experience with me. To better understand how you feel about this situation, let me ask you a few questions.",strong
Was the event that caused this recent? Or was it perhaps something distant in your past?,weak
Have you felt strongly about the emotions below to someone?,weak
Do you believe you should be someone else's savior?,no
Does it ever seem as if you're trying to shape somebody's life to what you want?,no
Do you always feel the need to help people to look like a saviour?,no
"Did this event happen recently, or a long time ago?",no
Do you feel like you are controlling?,no
"Up until what we have spoken, have you try considered other opinions presented to you?",weak
Is trying to control people something you find yourself doing? ,no
"In previous conversations, did you consider your situation from the various viewpoints presented?",no
Do you feel as though you should be someone's saviour?,no
Do you see yourself as the saviour of someone else?,no
Do you ever think that you should be someone's savior?,no
Was this situation caused by something that happened recently or distantly? ,weak
"Thank you for telling me. I will ask some more questions, if you don't mind.",weak
Do you wish people can see or do things the way you do or see them?,no
Was there a specific situation you want to talk about?,no
Do you believe that you can be a guardian angel for someone else?,no
"Thank you for letting me know and I totally understand your frustration. In order to help you, we will begin by asking some questions to understand your situation better. ",strong
Okay. Would you wanna tell me more about it? Did this event just happen recently or is in from the past?,weak
Do you feel like you must save someone?,no
I appreciate you sharing that with me. Can i ask you a few questions to help understand the situation better,strong
Are you thinking that something specific has caused this?,no
Did you at any point feel or express any of the emotions that are about to follow?,weak
Do you think it's your responsibility to save someone?,no
Is there anything in your life that happened recently that made you feel this way?,weak
Is there a part of you where you feel like you are trying to control someone?,no
Would you like to manipulate someone?,no
Do you think you are always to blame when something goes wrong?,no
"If you look deep inside yourself, do you think there is any chance that you may have displayed controlling behaviours toward someone lately, perhaps as a response to your own insecurities?",strong
Do you always feel like blaming yourself when things don't go well?,no
Is there a specific incident that particularly ticked you off?,weak
Are you experiencing a personal crisis at present (experiencing difficulties with loved ones e.g. falling out with friends)?,weak
Have you considered other viewpoints that were presented in previous conversations?,no
"I'm sorry to hear that, I know it can be quite difficult, but lets try to unpack everything and try and find a solution.",strong
Do you identify with being someone's hero or saviour?,no
Was there a specific event or events that led to this?,no
Do you perhaps feel like you can help someone?,no
"In previous conversations, did you actively consider all other viewpoints presented?",no
Was the situation caused by a particular event?,no
May I ask if you have been bothered by a recent problem in your life? ,weak
Do you look at all outlooks when dealing with people?,no
"I understand and what you are saying makes sense. In previous conversations, have you considered other viewpoints presented?",strong
Any of the following emotion have been present in the way you feel or express towards someone?,weak
"Have you recently felt that when something goes not your way, you always try to put the blame on you?",weak
Would you allow me to know if this problem has been caused by a recent specific event in your life. ,weak
Do you you consider other points of views from your other conversations?,no
I'm glad to hear that! Let me recommend a protocol you can try.,weak
"It's wonderful that you feel that way, let's see if we can supplement that with an appropriate protocol.",strong
Are you feeling this way because of a specific event (or events)?,no
Were these feelings you have been feeling caused by a specific occurence?,no
Is there someone that you have reacted with the following emotions to:,no
Were these terrible feelings caused by a recent or distant event (or events)?,no
Is there somebody making you feel this way? Do you feel a victim of that person?,no
Was the event that led to this recent or distant?,no
Have you ever felt any of the following emotions towards someone? And if so how did you feel about that?,weak
Do you have the feeling that you should save someone's day? ,no
"I see, thank you for opening up to me. Would you like to answer some questions, so that I can understand your situation better?",strong
Did something specific happen to make you feel this way?,no
"thank you for your understanding, I would really appreciate it if you could answer the following: do you feel that you are trying to control someone?",strong
Is there a possibility that you have experienced any of the following emotions when thinking of another person?,weak
Thank you for sharing this. Now I would like to ask you some more questions to understand your situation better.,strong
Do you think this was triggered by a recent or distant event?,no
In conversations do you allow the other part to effectively voice their opinions without interjection so you can understand where they're coming from?,weak
Do you always blame or accuse yourself when something goes wrong in your life? ,no
Now something that may be strange to you but did you feel that are you trying to manipulate someone? ,weak
Have you experienced or expressed any of the following emotions toward someone?,no
Did you feel any of the following emotions strongly towards a person?,no
Would you be able to tell me whether a specific event may have caused your distress?,strong
Did this challenging event happen in the past or is it occuring in your life at the moment?,weak
Is it related to something specific that happened?,no
Do you usually blame and accuse yourself to everything that goes wrong ?,no
Do you keep blaming yourself when something goes bad?,no
Are you going through a though path in your life?,no
"When others have situations like these, do you believe you have to come with a solution for them?",no
Thank you for answer. Now i will ask you about your situation.,weak
And have you tried protocol 6? Did you find that uncontrollable emotions resurfaced from trying it?,weak
Do you see yourself as the one that needs saving in this particular event/situation?,no
Thank you very much. Would you tell me if you are undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,strong
Do you think what happened was recent or in the past?,no
Did it happen recently or some time ago?,no
Could you please clarify if this was the result of a recent or past event?,weak
Have you at any point found yourself feeling any of these strong feelings towards someone?,no
Are you experiencing any personal crisis like having difficulties with loved ones?,no
Do you feel like you always blame yourself or are you to blame for something going wrong?,no
Are you experiencing difficulties with loved ones?,no
"Trying to be honest with yourself, is it possible that you have tried, or wanted, to control someone else's words and actions?",strong
Have you thought that you could possibly be trying to manipulate someone?,weak
Do you feel like you always want to be in control of a person?,no
Do you always find yourself as the one to blame when something goes wrong?,no
Do you always feel guilty when something goes wrong?,no
Would you perhaps say that the situation was induced by a specific event? ,weak
Would you say you have been wronged by someone which has made you feel so unwell?,weak
Do you think this event was recent or in the far past?,no
Do you feel that you are trying to influence someone with your words or actions?,weak
Has attempting protocol 6 reignited unmanageable emotions possibly by old events?,weak
Do you feel as if there is a person that you have the urge to save?,no
Do you think you are always self-critical when any thing goes wrong? ,no
Have you experienced something of this nature before?,no
I'm happy that you trust me with this. Can you tell me more about it?,strong
Did that happed to you recently or that was some time ago?,no
Are you listening the opinion of others?,no
Do you think someone needs you to save them?,no
"Sorry to ask, are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?",weak
"In past conversations, have you ever considered other viewpoints presented?",no
Have you considered all sides of the arguments in previous conversations?,no
Do you always blame yourself when things fall apart?,no
Thank you for informing me. I'll now ask you some questions to better understand your circumstance.,weak
Do you sometimes believe that you need to save someone,no
Do you aways blame yourself when something goes wrong?,no
Are you in a crisis and having difficulties in your personal life?,no
Are you currently going through something difficult in your life at the moment?,no
Have you tried using protocol 6 during the past few days? Did it cause you any negative feelings becaose of past events?,weak
Is there more to how you are feeling right now? Is everything okay with your personal relationships?,weak
And have you tried protocol 6? Did you find that uncontrollable emotions resurfaced from trying it?,weak
Was this unfortunate experience a result of a specific event(s)?,no
"thank you for persevering, in the previous conversations, have you considered other viewpoints presented?",strong
Do you feel your outlook is balanced on different viewpoints?,weak
Thank you for sharing this with me. Now we will ask some questions in order to understand your personal situation.,strong
Do you feel like it would be better if you took control over someone?,weak
Thank you for sharing this with me. Let's work on those feelings and try to understand them.,strong
Can you relate this to a particular event?,no
"Is your personal life, e.g. relationships, experiencing instability?",weak
"I can understand how protocol 6 may have brought back difficult feelings, have you tried it and has this been unmanageable for you? ",strong
"Thank you for telling me that. I would like to ask you some questions, so I could better understand how you feel.",strong
Have you had the feeling to control someone?,no
Do you view yourself as someone who wants to be in control?,no
Have you recently felt like a victim and blamed others for your negative feelings?,weak
"thank you for your understanding, do you believe that you should be the saviour of someone else?",weak
Is it someone elses fault cause you to feel like this?,no
"If you're willing to share, was this something caused by a recent event, or something from the past?",strong
Have you thought of yourself as the saviour of another person?,no
Have you tried explaining your thinking to others so that it is easier for them to understand you and thus act as you expect?,weak
Are you feeling this way because of something specific?,no
"Thank you so much for sharing this with me. We would like to help you as best as possible. If you do not mind, we will ask you a few more questions, to make sure we fully understand your situation.",strong
"If you're willing to provide more detail, was this because of a specific event/s?",strong
Do you think someone else is in the wrong for you to feel this way?,no
Could you tell me if you have experienced or expressed any of these emotions towards another person?,weak
Are these feelings recent or distant?,no
Do you see your negative feelings as a consequence of someone else other than you?,no
I understand why you feel this way. I will ask some more questions to understand your current situation.,strong
Do you feel the need to control someone? ,no
Do you believe that you should be the saviour of an individual?,no
Do you think that you always blame yourself for when something goes wrong?,no
"In our prior engagements, did you take into consideration other opinions that were given to you?",weak
Do you always feel like no matter what happens - it's always your fault?,no
Do you feel as if you are going through a personal crisis (going through a tough phase with people you love e.g. having disagreements with friends)?,weak
Do you feel like you play a passive role on the events leading to these feelings like a victim?,weak
"Have you been in a personal crisis lately regarding family members, loved ones, friends?",no
Have you felt that your actions or words have caused another person to change the way they are?,weak
"When things go wrong, do you always blame yourself?",no
Do you feel that you are always expected to save someone?,weak
May I ask if you have recently tried protocol 6 but it did not help and evoked some difficult feelings or emotions in you. ,weak
Do you perhaps have the urge to have control over another person?,weak
"As I see it a particular event was caused by a particular person. Let me give you some possible feelings, do any of them match what you felt for someone? These are:",strong
"In your opinion, have the emotions you felt before procotrol 6 returned after you put yourself through the protocol? ",weak
Please let me know if you are experiencing any type of personal crisis (e.g. difficulties with loved ones),weak
Were your feelings caused by any specific situation?,no
Do you feel you are being attacked by someone who's making you a victim?,weak
Have you thought about other viewpoints in the previous conversations?,no
"Before today, have you considered viewpoints outside your own?",no
Do you believe that you can do something good for someone else?  ,no
Sometimes an event can trigger these feelings. Can you think of anything specific that might have occurred?,strong
Do you believe that you have extreme difficulties in your personal life? ,weak
Do you blame anyone for how you feel?,no
Do you sometimes want people to do whatever you ask whenever you ask them? Do you have a certain person like that in your life?,no
"In this situation, do you find or see yourself as the victim or is there someone you blame for how negative you feel?",weak
Do you see yourself as someone trying to take control of someone or the situation itself?,no
"Thank you very much. Now please let me know this, Do you think that you are always blaming and accusing yourself for when something goes wrong?",strong
"Apologies for asking, but was this caused by a specific event/s?",strong
"Have you already tried to complete the exercise in Protocol 6, and if you have, did you find it painful or upsetting?",weak
Have you attempted protocol 6 and found that it brought back emotions as a result of the old event(s)?,weak
Are you of the belief that people need to be saved and rescued by you?,no
Thank you for sharing. Now I'll ask some questions so I can better understand your problems.,weak
How do you identify yourself in the situation? Do you feel like you are wronged by someone?,weak
Are you trying to take control of a person because they can't do it the way you want it?,no
Do you feel like you are trying to control someone in some way?,weak
Do you feel that everything must work exactly how you planned it and get frustrated when people dont do as you say?,weak
Are you fine with sharing if this was influenced by a specific event?,weak
Have you been able to take into account other viewpoints in past conversations?,no
I wonder if you could tell me if the event was recent or distant?,weak
"It's okay to feel like that sometimes, please tell me more about your situation ",strong
In recent days have you had any of these strong feelings towards a specific person?,weak
I can imagine how devastated this made you feel but I want you to know it is OK! Now please tell me what led you to this situation if you can take me step by step. ,strong
I wonder if you feel the urge to solve someone else's problem and resolve their plight. ,weak
"Ah, I see. And the event we are talking about, is it recent or distant?",no
Do you feel like it's your role to save anyone or everyone in your life?,no
Do you think you are dictating someone?,no
Thank you for telling me this. Now if you don't mind I would like to investigate this feeling a bit further.,strong
Please let me know if you are experience any hard personal situation with close ones.,weak
"When something is wrong, do you always accuse yourself?",no
Do you have any personal crisis you're currently going through?,no
Have you ever felt the need to control someone's life or decisions?,no
Do you think you should be something of a defender for someone? ,no
Have you ever found yourself trying to save or help someone else.,no
Good job. Have you praticed protocol 6 recently and felt this emotions as a result of old events?,weak
Have you tried to consider other viewpoints?,no
Thanks for sharing. Can we go deeper into it?,weak
Do you feel like it's your role to save anyone or everyone in your life?,no
Have any thoughts of trying to control someone been in your mind?,no
Was a particular event the primary factor that caused you to feel this way?,weak
Can you identify a specific event(s) that relates with the feeling you're referring to?,weak
Do you think this describes yourself: victim or blaming someonese else for how you feel? ,weak
"With the advances you have had, have you considered points others have discussed?",weak
"Thank you for explaining all of this to me, would you mind if I asked you some questions to make sure I completely understand.",strong
Do you feel like you are in control of how others feel? And do you try to help others often?,weak
"Ah, I see. And the event we are talking about, is it recent or distant?",no
Did you try protocol 6 and did it made you feel something negative in relation to an old event?,weak
"When something goes wrong, do you always blame yourself for it?",no
Was this unfortunate experience a result of a specific event(s)?,no
Is the way you feel someone else's fault?,no
I understant how this situation must be hard. If you agree I would like to ask a few things so I can better help you.,strong
Have you taken into consideration others' points of view?,no
Are you always unhappy with your self when things dont go accordingly?,no
Do you feel like you must be the savior of someone else?,no
Do you consider yourself victimized and putting the blame on a another person?,no
"If you do not mind me asking, was this caused by a recent or distant event(s)?",weak
Do you blame someone else for how negative you feel and make yourself the victim?,no
Was it something that happened that caused you to feel the way you feel?,weak
Do you feel you are trying to be in control of someone or some situation?,weak
Do you always see yourself as inadequate when things dont turn out the way you expect?,no
Do you think you are going through a crisis?,no
Do you find yourself trying to take control of others?,no
Did this happen due to a specific event(s)?,no
Have you recently taken up Protocol 6 and felt a sudden surge of those emotions that were with you from past events?,weak
Would you consider yourself to be undergoing a personal crisis?,no
"In conversations that you had before, did you ever try to see things from all the different points of views?",no
"Thank you for sharing, I will ask some questions about your situation now.",weak
Do you sometimes feel someone else is to blame for how you are currently feeling?,weak
Would you say you try to be in control of others? ,no
Do you feel like the world is against you and you feel there is nothing you can do about it until other people realise their mistakes and apologies to you?,weak
"In previous conversations, Which of the view points listed have you considered?",no
Are you the type of person that always blames themselves when something goes wrong?,no
Were you triggered by events that were recent or in the past?,no
Do you tend to blame yourself when things go wrong? ,no
"I understand. Sometimes we blame people for how negative we feel, have you felt that way lately? Do you feel like someone has done something to make you feel this way?",strong
Have you considered other viewpoints presented in previous conversations?,no
Are you dealing with something personal at home or in your life?,no
Have you tried considering other viewpoints?,no
Do you think you need to save others?,no
"I'm really sorry to hear that, let's see what I can do to help.",strong
Have you ever had these strong negative feelings towards someone?,no
Have you at any time felt like you are trying to control someone else?,no
Do you always label yourself as the scapegoat when things do not go according to plan?,no
"Are you currently going through a personal crisis, such as a family argument or trouble with a friendship?",weak
Have you recently attempted protocol 6 and unfortunately found this reignited unmanageable emotions as a result of old events? ,weak
Do you think you can change someone's situation for the better?,no
Do you always think you are the one to blame when things go wrong?,no
Have you done Protocol 6 and did it make you think about traumatic events that have happened to you in the past which might have led to you feeling this way?,weak
That is amazing to hear! Can I suggest a protocol which will allow that feeling to amplify?,strong
Do you feel that someone else is responsible for your negative emotions?,weak
Do you always beat yourself up when things go wrong?,no
Is the experience from a recent or distant event?,no
Have you considered any other viewpoints?,no
Are these feelings influenced by a recent event or distant event?,no
Do you feel the need to control someone?,no
May I ask if this was caused by a recent or distant event?,weak
Was the event in question recent or distant?,no
Do you feel the power or urge to be in control of others?,weak
"We will help you, but to do that I need to also ask, was this caused by a specific event/s?",strong
Do you think imposing your will on someone would help?,weak
Have you looked into different perspective in the previous conversations?  ,no
Do you think you are going through some personal crisis?,no
"I acknowledge that this may be a challenging moment for you, was what you feel now caused by any event in particular?",strong
Have you previously tried to consider other viewpoints in conversations?,no
Thanks for sharing with me. Now we will ask some questions to understand your situation,weak
Has there been a specific event affecting your feeling?,no
That is a valid way to feel. Do you mind if we ask some questions to better understand your situation?,strong
Have you ever strongly felt or had the opportunity to express any of the following emotions towards someone else?,weak
Did this happen to you: you always blame and accuse yourself when something is going wrong?,no
Do you always blame yourself when something goes wrong?,no
Thank you for your information. Now I would like to know if you've considered other viewpoints presented in previous conversations? ,strong
Do you always feel guilty when things go wrong?,no
What a specific event the reason behind your feelings?,no
Thank you for sharing this with me. Do you want to tell me more?,strong
Do you feel like you're trying to control someone? ,no
Do you feel like you should save someone else?,no
"Thank you for trusting me with this, May I ask you some questions in order to understand the situation better?",strong
Do you feel that this negative emotion is due to an emotional personal crisis in your life?,weak
Do you find that whenever something goes wrong you blame yourself?,no
"Could you let me know if you have felt any of the following emotions, and if you have conveyed any of them to someone else?",weak
Do you think this situation was caused by a specific event?,no
Have you ever found yourself in a situation where you overwhelmed by any such emotion?,no
"When you think about your negative emotions, do you feel as though something or someone else outside you is causing them?",weak
Did this triggering event occur recently or a long time ago?,no
Thank you for sharing and being open with me. Now we will ask some questions to help gain a better understanding of your situation.,strong
Have you ever found yourself in the shoes of the victim and therefore blaming someone else for how uncomfortable or bad you feel?,weak
That is normal. Let me ask you some questions to get a better understanding of your situation.,weak
Are you in difficult point in your personal life?,no
Was this caused by a recent or distant event (or events)that happened in your life?,no
Have you attempted to use protocol 6 to see whether this has brought emotions from the past to the surface? ,weak
Are you currently facing any challenges in your relationships (experiencing strain in relationship with your loved ones e.g. having a fight with friends that led to a falling out)?,weak
Do you see yourself as a controlling person?,no
Do you feel like no one is listening or doing what you want them to do?,no
"Are you currently undergoing a personal crisis, such as: struggles in your personal relationships (e.g. falling out with friends)? ",weak
Have you recently tried protocol 6 and realized that it was making your situation worse?,weak
