response,empathy_score
"Is there anything going on in your life at the moment that's making things more difficult. For example, are you having difficulties with friends or loved ones?",2
Do you feel like someone doesn't listen to you? Do you want to take control of them?,1
Do you feel or find yourself somehow trying to control someone?,0
Do you feel this way because of something that happened in a long time ago or recently?,1
Do you seem to think that you undergoing a personal crisis?,0
Have you tried taking protocol 6 and did it cause more negative feelings? Either way I am sorry to hear this.,2
Is it important to you that you be a saviour of someone else?,0
"I hear and understand where you are coming from, would you mind if I asked questions to get more clarity?",2
I wonder if you have thought you may be trying wittingly or unwittingly to control someone. ,1
Do you feel that it's your job to save somebody else?,0
Do you believe its always your fault something goes wrong? Please think about this.,1
"Thank you very much. Now, please, let me know this. Have you recently attempted protocol 6 and found unmanageable emotions as a result of old events?",2
Do you feel that someone else is responsible for your negative emotions?,1
Have you strongly felt or expressed any of the following emotions towards someone that you trust or is close to you?,1
Do you ever considered other points of view?,0
Was this caused by an event that happened recently or an event/s that happened in the past?,0
Was this feeling caused by a recent of distant problem?,0
Thank you for letting me know. Now I will ask some questions to help you with your situation.,1
Do you consider yourself as the savior of someone else?,0
Did you experience or expressed any of the following emotions towards someone?,0
Do you think you should be a person that saves others?,0
Was this recent or distant?,0
Are you trying to control other people?,0
Do you feel like you are in control of someone else?,0
Do you always feel like its your fault when something goes wrong?,0
Do you always tend to blame yourself when something goes wrong in your life?,0
Have you considered looking at the situation from different angles in the past when you've felt this way?,1
Do you find it easier to shift blame for your situation?,1
Have you expressed any of the following emotions towards someone else?,0
Can you tell me please was this caused by some specific event?,1
Did a particular event make you feel this way?,0
Do you express any of the following emotions strongly towards someone:,0
"In previous conversations, Which of the view points listed have you considered?",0
Have you strongly expressed or felt any of the following emotions towards someone:,0
Would you consider yourself to be undergoing a personal crisis?,0
Is your feeling due to something that happened recently or in the past?,0
Does applying protocol 6 make you feel strong negative emotions?,0
Do you feel like you blame yourself for everything?,0
Do you think you are dictating someone?,0
Is there something in you that makes you think you are the one that has to save someone?,0
"Do you identify with the role of the victim, trying to blame someone else for your negative feelings?",1
Thank for you talking to me about this. Have you tried talking to others for their viewpoints?,2
Have there been any events recent or distant that you think have caused this to happen?,1
Have you ever felt that you are a victim and blamed someone else for this negative feeling?,0
Did you see all viewpoints that were presented in your previous discussions?,0
"Do you think your mission is to help others, no matter what costs?",0
Would you regard yourself as someone who is controlling?,0
"Do you feel the need to actively support or ""rescue"" another person?",0
Would you say you have felt or currently feeling any of the below emotions towards someone:,0
Now I would like us to recall if there was a certain event that caused this. Do you think there was?,2
"I'm sorry to hear that, I know it can be quite difficult, but lets try to unpack everything and try and find a solution.",2
Do you have a crisis with the people close to you?,0
Do you always blame yourself when things fall apart?,0
Did this happen due to a specific event?,0
"Please do tell me, did this event(s) happen more recently or is it distant?",1
Have you ever felt these feelings towards someone else for what they have?,1
Do you think something specific caused you to feel this way?,1
Do you remember attempting protocol 6 recently and discovered that you feel like that as a result of old events?,1
"Do you know about protocol 6? If so, have you attempted it and found reignited unmanageable emotions as a result of old events?",1
"Thank you for that information, sometimes I have experinced this as well. Do you see yourself as the victim, blaming someone else for how negative you feel?",2
 Did something happen to make you feel this way?,0
"I understand, is this feeling caused by a specific moment, either recently or long ago?",1
Do you feel that you trying to or controlling someone?,0
Is there something particular that caused this?,0
Are you feeling like this because of some specific event?,0
Could recall attempting protocol 6 recently and this leading to deep negative emotions that you could not manage?,1
"If something negative happens, do you think that is your fault?",0
I know that is not easy but did you try protocol 6? If you did it recreate negative feelings from your past?,2
Do you always blame yourself for something that goes wrong?,0
Is there anything in particular that caused you to feel this way?,1
"I can imagine how you feel, I once went through a similar situation. Let me suggest some procotics that should help you.",2
"When you chat with other people, do you try to put yourself in their shoes and consider their point of view?",0
"If you are willing to share your thoughts, do you believe that you should be the saviour of someone else?",1
"It's okay to feel like this, and I know you can do better. Tell me more, why do you feel responsible?",2
Have you given protocol 6 a try? Did it bring up some heavy emotions?,0
Do you feel you want someone to behave in way that suits you better?,1
Would you wanna save someone else when they are in trouble?,0
Are things rough for you at this point in time?,0
Good job so far! One more question: Have you strongly felt or expressed any of the following emotions towards someone else?,1
Did this happen after a certain event?,0
Do you consider yourself to be someone else's savior?,0
Is there a need for you to be someone else's saviour?,0
Have you ever felt that you are someone else's saviour?,0
Do you always feel responsible when something goes wrong?,0
"Have you recently tried protocol 6? If so, did that stir up any difficult emotions relating to past events?",1
"I wonder, was this caused by a recent or distant event?",1
"Now, to make sure my recommendations are tailored to your needs, could you please tell me if you have already tried Protocol 6, but found it too hard due to past negative emotions and could not continue?",2
Are you trying to help someone out by controlling their decisions?,0
"I appreciate you sharing this information with me and wanting my assistance. Please, allow me to ask some questions to further understand your feelings.",2
"In this situation, have you ever felt as the victim or blamed someone else for how negative you feel?",1
"Do you usually see yourself as the victim, and blame someone else for your negative feelings?",0
Have you tried protocol 6 lately? Did it have any negative affects on how you have felt lately?,1
Do you always put a blame on yourself when things go wrong?,0
"Do you picture yourself as a victim, blaming others for reasoning behind your negative emotions?",1
Are you facing any personal hardships such as falling out with a friend at the moment?,1
Have you considered others' opinions in previous discussions?,0
Do you recall any specific event(s) that caused you to feel this way?,1
"If you have recently tried protocal 6, did it bring back any bad emotions from older events?",1
Do you see yourself as a victim?,0
Are you always so hard on yourself when something doesn't go according to plan?,0
Do youexperience of hardships with loved ones?,0
Thank you for sharing and being open with me. Now we will ask some questions to help gain a better understanding of your situation.,2
"Is this feeling because you are going through a personal crisis(e.g. problems with loved ones, friends, etc.)?",1
"Thank you for sharing your feelings and experience with me. To better understand how you feel about this situation, let me ask you a few questions.",2
Was the event that caused this recent? Or was it perhaps something distant in your past?,1
Have you felt strongly about the emotions below to someone?,0
Do you believe you should be someone else's savior?,0
Does it ever seem as if you're trying to shape somebody's life to what you want?,0
Do you always feel the need to help people to look like a saviour?,0
"Did this event happen recently, or a long time ago?",0
Do you feel like you are controlling?,0
"Up until what we have spoken, have you try considered other opinions presented to you?",1
Is trying to control people something you find yourself doing? ,0
"In previous conversations, did you consider your situation from the various viewpoints presented?",0
Do you feel as though you should be someone's saviour?,1
Do you see yourself as the saviour of someone else?,0
Do you ever think that you should be someone's savior?,0
Was this situation caused by something that happened recently or distantly? ,0
"Thank you for telling me. I will ask some more questions, if you don't mind.",1
Do you wish people can see or do things the way you do or see them?,0
Was there a specific situation you want to talk about?,1
Do you believe that you can be a guardian angel for someone else?,0
"Thank you for letting me know and I totally understand your frustration. In order to help you, we will begin by asking some questions to understand your situation better. ",2
Okay. Would you wanna tell me more about it? Did this event just happen recently or is in from the past?,2
Do you feel like you must save someone?,0
I appreciate you sharing that with me. Can i ask you a few questions to help understand the situation better,2
Are you thinking that something specific has caused this?,0
Did you at any point feel or express any of the emotions that are about to follow?,1
Do you think it's your responsibility to save someone?,0
Is there anything in your life that happened recently that made you feel this way?,1
Is there a part of you where you feel like you are trying to control someone?,0
Would you like to manipulate someone?,0
Do you think you are always to blame when something goes wrong?,0
"If you look deep inside yourself, do you think there is any chance that you may have displayed controlling behaviours toward someone lately, perhaps as a response to your own insecurities?",2
Do you always feel like blaming yourself when things don't go well?,0
Is there a specific incident that particularly ticked you off?,0
Are you experiencing a personal crisis at present (experiencing difficulties with loved ones e.g. falling out with friends)?,1
Have you considered other viewpoints that were presented in previous conversations?,0
"I'm sorry to hear that, I know it can be quite difficult, but lets try to unpack everything and try and find a solution.",2
Do you identify with being someone's hero or saviour?,0
Was there a specific event or events that led to this?,0
Do you perhaps feel like you can help someone?,1
"In previous conversations, did you actively consider all other viewpoints presented?",0
Was the situation caused by a particular event?,0
May I ask if you have been bothered by a recent problem in your life? ,1
Do you look at all outlooks when dealing with people?,0
"I understand and what you are saying makes sense. In previous conversations, have you considered other viewpoints presented?",2
Any of the following emotion have been present in the way you feel or express towards someone?,1
"Have you recently felt that when something goes not your way, you always try to put the blame on you?",1
Would you allow me to know if this problem has been caused by a recent specific event in your life. ,1
Do you you consider other points of views from your other conversations?,0
I'm glad to hear that! Let me recommend a protocol you can try.,1
"It's wonderful that you feel that way, let's see if we can supplement that with an appropriate protocol.",2
Are you feeling this way because of a specific event (or events)?,0
Were these feelings you have been feeling caused by a specific occurence?,1
Is there someone that you have reacted with the following emotions to:,0
Were these terrible feelings caused by a recent or distant event (or events)?,0
Is there somebody making you feel this way? Do you feel a victim of that person?,0
Was the event that led to this recent or distant?,0
Have you ever felt any of the following emotions towards someone? And if so how did you feel about that?,1
Do you have the feeling that you should save someone's day? ,0
"I see, thank you for opening up to me. Would you like to answer some questions, so that I can understand your situation better?",2
Did something specific happen to make you feel this way?,0
"thank you for your understanding, I would really appreciate it if you could answer the following: do you feel that you are trying to control someone?",2
Is there a possibility that you have experienced any of the following emotions when thinking of another person?,1
Thank you for sharing this. Now I would like to ask you some more questions to understand your situation better.,1
Do you think this was triggered by a recent or distant event?,0
In conversations do you allow the other part to effectively voice their opinions without interjection so you can understand where they're coming from?,1
Do you always blame or accuse yourself when something goes wrong in your life? ,0
Now something that may be strange to you but did you feel that are you trying to manipulate someone? ,1
Have you experienced or expressed any of the following emotions toward someone?,0
Did you feel any of the following emotions strongly towards a person?,0
Would you be able to tell me whether a specific event may have caused your distress?,2
Did this challenging event happen in the past or is it occuring in your life at the moment?,1
Is it related to something specific that happened?,0
Do you usually blame and accuse yourself to everything that goes wrong ?,0
Do you keep blaming yourself when something goes bad?,0
Are you going through a though path in your life?,0
"When others have situations like these, do you believe you have to come with a solution for them?",0
Thank you for answer. Now i will ask you about your situation.,0
And have you tried protocol 6? Did you find that uncontrollable emotions resurfaced from trying it?,1
Do you see yourself as the one that needs saving in this particular event/situation?,0
Thank you very much. Would you tell me if you are undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,2
Do you think what happened was recent or in the past?,0
Did it happen recently or some time ago?,0
Could you please clarify if this was the result of a recent or past event?,1
Have you at any point found yourself feeling any of these strong feelings towards someone?,0
Are you experiencing any personal crisis like having difficulties with loved ones?,0
Do you feel like you always blame yourself or are you to blame for something going wrong?,0
Are you experiencing difficulties with loved ones?,0
"Trying to be honest with yourself, is it possible that you have tried, or wanted, to control someone else's words and actions?",2
Have you thought that you could possibly be trying to manipulate someone?,0
Do you feel like you always want to be in control of a person?,0
Do you always find yourself as the one to blame when something goes wrong?,0
Do you always feel guilty when something goes wrong?,0
Would you perhaps say that the situation was induced by a specific event? ,1
Would you say you have been wronged by someone which has made you feel so unwell?,1
Do you think this event was recent or in the far past?,0
Do you feel that you are trying to influence someone with your words or actions?,1
Has attempting protocol 6 reignited unmanageable emotions possibly by old events?,1
Do you feel as if there is a person that you have the urge to save?,1
Do you think you are always self-critical when any thing goes wrong? ,0
Have you experienced something of this nature before?,0
I'm happy that you trust me with this. Can you tell me more about it?,2
Did that happed to you recently or that was some time ago?,0
Are you listening the opinion of others?,0
Do you think someone needs you to save them?,0
"Sorry to ask, are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?",1
"In past conversations, have you ever considered other viewpoints presented?",0
Have you considered all sides of the arguments in previous conversations?,0
Do you always blame yourself when things fall apart?,0
Thank you for informing me. I'll now ask you some questions to better understand your circumstance.,1
Do you sometimes believe that you need to save someone,0
Do you aways blame yourself when something goes wrong?,0
Are you in a crisis and having difficulties in your personal life?,0
Are you currently going through something difficult in your life at the moment?,0
Have you tried using protocol 6 during the past few days? Did it cause you any negative feelings becaose of past events?,1
Is there more to how you are feeling right now? Is everything okay with your personal relationships?,1
And have you tried protocol 6? Did you find that uncontrollable emotions resurfaced from trying it?,1
Was this unfortunate experience a result of a specific event(s)?,0
"thank you for persevering, in the previous conversations, have you considered other viewpoints presented?",1
Do you feel your outlook is balanced on different viewpoints?,0
Thank you for sharing this with me. Now we will ask some questions in order to understand your personal situation.,1
Do you feel like it would be better if you took control over someone?,1
Thank you for sharing this with me. Let's work on those feelings and try to understand them.,2
Can you relate this to a particular event?,1
"Is your personal life, e.g. relationships, experiencing instability?",0
"I can understand how protocol 6 may have brought back difficult feelings, have you tried it and has this been unmanageable for you? ",2
"Thank you for telling me that. I would like to ask you some questions, so I could better understand how you feel.",2
Have you had the feeling to control someone?,0
Do you view yourself as someone who wants to be in control?,0
Have you recently felt like a victim and blamed others for your negative feelings?,0
"thank you for your understanding, do you believe that you should be the saviour of someone else?",1
Is it someone elses fault cause you to feel like this?,0
"If you're willing to share, was this something caused by a recent event, or something from the past?",2
Have you thought of yourself as the saviour of another person?,0
Have you tried explaining your thinking to others so that it is easier for them to understand you and thus act as you expect?,1
Are you feeling this way because of something specific?,0
"Thank you so much for sharing this with me. We would like to help you as best as possible. If you do not mind, we will ask you a few more questions, to make sure we fully understand your situation.",2
"If you're willing to provide more detail, was this because of a specific event/s?",1
Do you think someone else is in the wrong for you to feel this way?,1
Could you tell me if you have experienced or expressed any of these emotions towards another person?,1
Are these feelings recent or distant?,0
Do you see your negative feelings as a consequence of someone else other than you?,1
I understand why you feel this way. I will ask some more questions to understand your current situation.,2
Do you feel the need to control someone? ,0
Do you believe that you should be the saviour of an individual?,0
Do you think that you always blame yourself for when something goes wrong?,0
"In our prior engagements, did you take into consideration other opinions that were given to you?",0
Do you always feel like no matter what happens - it's always your fault?,0
Do you feel as if you are going through a personal crisis (going through a tough phase with people you love e.g. having disagreements with friends)?,1
Do you feel like you play a passive role on the events leading to these feelings like a victim?,1
"Have you been in a personal crisis lately regarding family members, loved ones, friends?",0
Have you felt that your actions or words have caused another person to change the way they are?,1
"When things go wrong, do you always blame yourself?",0
Do you feel that you are always expected to save someone?,0
May I ask if you have recently tried protocol 6 but it did not help and evoked some difficult feelings or emotions in you. ,2
Do you perhaps have the urge to have control over another person?,1
"As I see it a particular event was caused by a particular person. Let me give you some possible feelings, do any of them match what you felt for someone? These are:",2
"In your opinion, have the emotions you felt before procotrol 6 returned after you put yourself through the protocol? ",1
Please let me know if you are experiencing any type of personal crisis (e.g. difficulties with loved ones),1
Were your feelings caused by any specific situation?,0
Do you feel you are being attacked by someone who's making you a victim?,1
Have you thought about other viewpoints in the previous conversations?,0
"Before today, have you considered viewpoints outside your own?",0
Do you believe that you can do something good for someone else?  ,0
Sometimes an event can trigger these feelings. Can you think of anything specific that might have occurred?,2
Do you believe that you have extreme difficulties in your personal life? ,0
Do you blame anyone for how you feel?,0
Do you sometimes want people to do whatever you ask whenever you ask them? Do you have a certain person like that in your life?,0
"In this situation, do you find or see yourself as the victim or is there someone you blame for how negative you feel?",1
Do you see yourself as someone trying to take control of someone or the situation itself?,0
"Thank you very much. Now please let me know this, Do you think that you are always blaming and accusing yourself for when something goes wrong?",2
"Apologies for asking, but was this caused by a specific event/s?",2
"Have you already tried to complete the exercise in Protocol 6, and if you have, did you find it painful or upsetting?",1
Have you attempted protocol 6 and found that it brought back emotions as a result of the old event(s)?,1
Are you of the belief that people need to be saved and rescued by you?,0
Thank you for sharing. Now I'll ask some questions so I can better understand your problems.,1
How do you identify yourself in the situation? Do you feel like you are wronged by someone?,1
Are you trying to take control of a person because they can't do it the way you want it?,0
Do you feel like you are trying to control someone in some way?,1
Do you feel that everything must work exactly how you planned it and get frustrated when people dont do as you say?,1
Are you fine with sharing if this was influenced by a specific event?,1
Have you been able to take into account other viewpoints in past conversations?,0
I wonder if you could tell me if the event was recent or distant?,1
"It's okay to feel like that sometimes, please tell me more about your situation ",2
In recent days have you had any of these strong feelings towards a specific person?,0
I can imagine how devastated this made you feel but I want you to know it is OK! Now please tell me what led you to this situation if you can take me step by step. ,2
I wonder if you feel the urge to solve someone else's problem and resolve their plight. ,1
"Ah, I see. And the event we are talking about, is it recent or distant?",1
Do you feel like it's your role to save anyone or everyone in your life?,0
Do you think you are dictating someone?,0
Thank you for telling me this. Now if you don't mind I would like to investigate this feeling a bit further.,2
Please let me know if you are experience any hard personal situation with close ones.,0
"When something is wrong, do you always accuse yourself?",0
Do you have any personal crisis you're currently going through?,0
Have you ever felt the need to control someone's life or decisions?,0
Do you think you should be something of a defender for someone? ,0
Have you ever found yourself trying to save or help someone else.,0
Good job. Have you praticed protocol 6 recently and felt this emotions as a result of old events?,1
Have you tried to consider other viewpoints?,0
Thanks for sharing. Can we go deeper into it?,2
Do you feel like it's your role to save anyone or everyone in your life?,0
Have any thoughts of trying to control someone been in your mind?,0
Was a particular event the primary factor that caused you to feel this way?,1
Can you identify a specific event(s) that relates with the feeling you're referring to?,1
Do you think this describes yourself: victim or blaming someonese else for how you feel? ,0
"With the advances you have had, have you considered points others have discussed?",1
"Thank you for explaining all of this to me, would you mind if I asked you some questions to make sure I completely understand.",2
Do you feel like you are in control of how others feel? And do you try to help others often?,1
"Ah, I see. And the event we are talking about, is it recent or distant?",1
Did you try protocol 6 and did it made you feel something negative in relation to an old event?,1
"When something goes wrong, do you always blame yourself for it?",0
Was this unfortunate experience a result of a specific event(s)?,0
Is the way you feel someone else's fault?,0
I understant how this situation must be hard. If you agree I would like to ask a few things so I can better help you.,2
Have you taken into consideration others' points of view?,0
Are you always unhappy with your self when things dont go accordingly?,0
Do you feel like you must be the savior of someone else?,0
Do you consider yourself victimized and putting the blame on a another person?,0
"If you do not mind me asking, was this caused by a recent or distant event(s)?",1
Do you blame someone else for how negative you feel and make yourself the victim?,0
Was it something that happened that caused you to feel the way you feel?,0
Do you feel you are trying to be in control of someone or some situation?,0
Do you always see yourself as inadequate when things dont turn out the way you expect?,0
Do you think you are going through a crisis?,0
Do you find yourself trying to take control of others?,0
Did this happen due to a specific event(s)?,0
Have you recently taken up Protocol 6 and felt a sudden surge of those emotions that were with you from past events?,1
Would you consider yourself to be undergoing a personal crisis?,0
"In conversations that you had before, did you ever try to see things from all the different points of views?",1
"Thank you for sharing, I will ask some questions about your situation now.",1
Do you sometimes feel someone else is to blame for how you are currently feeling?,1
Would you say you try to be in control of others? ,1
Do you feel like the world is against you and you feel there is nothing you can do about it until other people realise their mistakes and apologies to you?,2
"In previous conversations, Which of the view points listed have you considered?",0
Are you the type of person that always blames themselves when something goes wrong?,0
Were you triggered by events that were recent or in the past?,0
Do you tend to blame yourself when things go wrong? ,0
"I understand. Sometimes we blame people for how negative we feel, have you felt that way lately? Do you feel like someone has done something to make you feel this way?",2
Have you considered other viewpoints presented in previous conversations?,0
Are you dealing with something personal at home or in your life?,0
Have you tried considering other viewpoints?,0
Do you think you need to save others?,0
"I'm really sorry to hear that, let's see what I can do to help.",2
Have you ever had these strong negative feelings towards someone?,0
Have you at any time felt like you are trying to control someone else?,0
Do you always label yourself as the scapegoat when things do not go according to plan?,0
"Are you currently going through a personal crisis, such as a family argument or trouble with a friendship?",0
Have you recently attempted protocol 6 and unfortunately found this reignited unmanageable emotions as a result of old events? ,1
Do you think you can change someone's situation for the better?,0
Do you always think you are the one to blame when things go wrong?,0
Have you done Protocol 6 and did it make you think about traumatic events that have happened to you in the past which might have led to you feeling this way?,1
That is amazing to hear! Can I suggest a protocol which will allow that feeling to amplify?,2
Do you feel that someone else is responsible for your negative emotions?,1
Do you always beat yourself up when things go wrong?,0
Is the experience from a recent or distant event?,0
Have you considered any other viewpoints?,0
Are these feelings influenced by a recent event or distant event?,0
Do you feel the need to control someone?,0
May I ask if this was caused by a recent or distant event?,1
Was the event in question recent or distant?,0
Do you feel the power or urge to be in control of others?,0
"We will help you, but to do that I need to also ask, was this caused by a specific event/s?",2
Do you think imposing your will on someone would help?,1
Have you looked into different perspective in the previous conversations?  ,0
Do you think you are going through some personal crisis?,0
"I acknowledge that this may be a challenging moment for you, was what you feel now caused by any event in particular?",2
Have you previously tried to consider other viewpoints in conversations?,0
Thanks for sharing with me. Now we will ask some questions to understand your situation,1
Has there been a specific event affecting your feeling?,0
That is a valid way to feel. Do you mind if we ask some questions to better understand your situation?,2
Have you ever strongly felt or had the opportunity to express any of the following emotions towards someone else?,0
Did this happen to you: you always blame and accuse yourself when something is going wrong?,0
Do you always blame yourself when something goes wrong?,0
Thank you for your information. Now I would like to know if you've considered other viewpoints presented in previous conversations? ,1
Do you always feel guilty when things go wrong?,0
What a specific event the reason behind your feelings?,0
Thank you for sharing this with me. Do you want to tell me more?,2
Do you feel like you're trying to control someone? ,0
Do you feel like you should save someone else?,0
"Thank you for trusting me with this, May I ask you some questions in order to understand the situation better?",2
Do you feel that this negative emotion is due to an emotional personal crisis in your life?,1
Do you find that whenever something goes wrong you blame yourself?,0
"Could you let me know if you have felt any of the following emotions, and if you have conveyed any of them to someone else?",1
Do you think this situation was caused by a specific event?,0
Have you ever found yourself in a situation where you overwhelmed by any such emotion?,0
"When you think about your negative emotions, do you feel as though something or someone else outside you is causing them?",1
Did this triggering event occur recently or a long time ago?,0
Thank you for sharing and being open with me. Now we will ask some questions to help gain a better understanding of your situation.,2
Have you ever found yourself in the shoes of the victim and therefore blaming someone else for how uncomfortable or bad you feel?,1
That is normal. Let me ask you some questions to get a better understanding of your situation.,1
Are you in difficult point in your personal life?,0
Was this caused by a recent or distant event (or events)that happened in your life?,0
Have you attempted to use protocol 6 to see whether this has brought emotions from the past to the surface? ,1
Are you currently facing any challenges in your relationships (experiencing strain in relationship with your loved ones e.g. having a fight with friends that led to a falling out)?,1
Do you see yourself as a controlling person?,0
Do you feel like no one is listening or doing what you want them to do?,0
"Are you currently undergoing a personal crisis, such as: struggles in your personal relationships (e.g. falling out with friends)? ",1
Have you recently tried protocol 6 and realized that it was making your situation worse?,0
"I hope not, but are you undergoing some personal crisis in your life right now?",1
"Excuse me, but do you see yourself as the victim, blaming someone else for how negative you feel?",1
Do you know if maybe an event caused this?,0
Did something happen recently that made you feel this way or triggered the response you had?,1
Do you think that those feelings were caused by a specific event?,1
Have you had a feeling that you are like a victim and blamed someone else?,1
"Thank you for opening up to me. I have some more in-depth questions to ask, if that is ok.",1
"I understand what you feel like, but was this due to recent or distant event?",2
Have you at any point attempted protocol 6 and found that it awakened an overwhelming surge of your emotions?,1
